date,open,high,low,close,volume,amount
2025-01-02,1928.883,1956.022,1875.387,1893.876,10079521100,140333490000.0
2025-01-03,1899.08,1905.33,1813.726,1816.725,9866381800,127980999000.0
2025-01-06,1809.761,1827.945,1772.671,1803.593,7953005900,103092567000.0
2025-01-07,1805.798,1856.775,1805.798,1856.775,8652685000,114002740000.0
2025-01-08,1850.355,1875.835,1797.071,1860.768,10191023300,137582080000.0
2025-01-09,1851.988,1887.871,1851.988,1877.262,9124728600,123653903000.0
2025-01-10,1871.358,1891.863,1827.062,1827.062,9247369600,129414558000.0
2025-01-13,1802.05,1846.477,1781.138,1827.91,7683591900,103207614000.0
2025-01-14,1837.646,1934.159,1837.646,1934.159,11072559200,156807250000.0
2025-01-15,1937.451,1946.491,1922.667,1928.524,10237111000,144865710000.0
2025-01-16,1939.812,1971.917,1921.383,1941.198,10283488900,148208550000.0
2025-01-17,1933.96,1953.013,1923.017,1938.789,8393236900,117686100000.0
2025-01-20,1951.706,1968.118,1939.108,1958.721,8868913300,123216560000.0
2025-01-21,1970.463,1973.025,1939.414,1965.373,9172001800,137516070000.0
2025-01-22,1956.934,1966.464,1945.109,1953.016,8526043400,134587380000.0
2025-01-23,1975.86,2009.348,1953.34,1953.34,11543533400,174169460000.0
2025-01-24,1947.724,2000.486,1947.724,1998.799,10665599600,161987690000.0
2025-01-27,2005.08,2011.343,1959.414,1959.414,9397551100,148649640000.0
2025-02-05,1983.55,2006.352,1973.918,1999.635,10939168400,180000230000.0
2025-02-06,1994.027,2061.846,1988.17,2061.846,13041761300,211804260000.0
2025-02-07,2062.72,2116.772,2062.546,2096.872,16221453000,263052310000.0
2025-02-10,2109.627,2141.588,2102.281,2141.588,14721667000,236263820000.0
2025-02-11,2138.347,2153.529,2114.809,2139.937,13530278000,225443260000.0
2025-02-12,2135.523,2177.723,2135.523,2177.709,14207502000,241565830000.0
2025-02-13,2179.353,2179.353,2143.04,2149.748,15522696000,265619810000.0
2025-02-14,2143.167,2170.981,2135.035,2163.555,14274284000,247177570000.0
2025-02-17,2172.852,2195.111,2165.898,2192.819,14772177000,258726290000.0
2025-02-18,2186.448,2195.557,2129.596,2137.524,14125338000,233059530000.0
2025-02-19,2134.714,2205.646,2134.714,2205.646,13890819000,244377940000.0
2025-02-20,2206.224,2229.75,2198.098,2225.211,14034145000,244164550000.0
2025-02-21,2233.217,2270.507,2222.652,2269.346,16694722000,299516220000.0
2025-02-24,2272.649,2292.514,2250.733,2277.402,16687060000,307186440000.0
2025-02-25,2239.257,2298.099,2234.981,2273.215,15936845000,286184870000.0
2025-02-26,2280.368,2321.049,2277.196,2310.597,16112601000,272994870000.0
2025-02-27,2310.001,2322.865,2256.597,2297.966,16084496000,273302210000.0
2025-02-28,2288.598,2288.598,2193.349,2198.149,14580679000,240525690000.0
2025-03-03,2208.922,2245.388,2187.411,2205.975,12766543000,201507790000.0
2025-03-04,2185.857,2248.466,2185.495,2248.249,12404630500,188925710000.0
2025-03-05,2249.135,2275.008,2234.605,2274.874,13057062400,207355360000.0
2025-03-06,2290.809,2343.366,2290.809,2332.723,15273068000,263323930000.0
2025-03-07,2327.206,2351.179,2305.406,2322.004,15518231000,260846050000.0
2025-03-10,2321.171,2329.811,2304.095,2321.83,12577963400,207165480000.0
2025-03-11,2287.316,2331.247,2286.542,2331.247,11821003700,185424400000.0
2025-03-12,2348.065,2372.643,2338.437,2352.321,13559851000,214275520000.0
2025-03-13,2345.462,2351.411,2280.677,2307.266,13620002000,214332810000.0
2025-03-14,2300.219,2338.216,2276.578,2335.135,11844918700,192234960000.0
2025-03-17,2340.924,2355.795,2327.69,2348.42,11257069200,182745540000.0
2025-03-18,2354.165,2369.542,2345.186,2366.402,11462705500,185921730000.0
2025-03-19,2360.027,2367.429,2339.678,2350.731,11225091100,181950310000.0
2025-03-20,2347.678,2372.604,2341.056,2348.396,11660314600,186651590000.0
2025-03-21,2335.794,2335.988,2284.455,2291.218,12559739800,188954490000.0
2025-03-24,2289.029,2291.993,2191.516,2243.342,11957872900,169628090000.0
2025-03-25,2240.057,2252.636,2213.641,2220.585,10102082000,144252310000.0
2025-03-26,2214.867,2255.146,2214.867,2242.836,9738319600,134949610000.0
2025-03-27,2234.945,2249.481,2203.115,2220.876,9483937400,133540355000.0
2025-03-28,2214.442,2230.085,2187.699,2187.699,8531919100,116473464000.0
2025-03-31,2168.84,2175.678,2125.084,2169.316,9514537600,137349980000.0
2025-04-01,2175.004,2192.698,2170.962,2174.751,7742231400,113425863000.0
2025-04-02,2173.03,2203.927,2171.933,2187.067,7123475300,101408311000.0
2025-04-03,2160.984,2193.564,2141.179,2155.052,8177690100,119095868000.0
2025-04-07,2002.382,2018.098,1861.341,1871.493,9634157300,129915608000.0
2025-04-08,1854.39,1908.64,1810.603,1853.149,12400889400,156807850000.0
2025-04-09,1817.629,1925.608,1728.018,1912.784,13200225900,164796820000.0
2025-04-10,1962.723,2011.16,1962.723,1969.387,11777081800,162804900000.0
2025-04-11,1952.818,2015.285,1952.201,1993.905,9246263400,132058187000.0
2025-04-14,2026.397,2046.446,2020.229,2028.277,8655390500,121294678000.0
2025-04-15,2030.785,2036.331,2007.812,2028.77,7483607200,103131638000.0
2025-04-16,2019.708,2020.718,1958.843,1986.289,7375419500,99033381000.0
2025-04-17,1975.046,2012.228,1974.224,1991.052,6526058100,89457951000.0
2025-04-18,1986.859,2003.092,1972.489,1993.935,6481227000,88362938000.0
2025-04-21,1992.156,2037.587,1980.303,2037.587,7285444800,105543146000.0
2025-04-22,2035.541,2041.431,2026.807,2032.968,7281980800,101596009000.0
2025-04-23,2046.171,2078.391,2046.171,2069.728,9208130800,132286172000.0
2025-04-24,2067.111,2067.961,2028.177,2037.175,8123558300,112130269000.0
2025-04-25,2042.914,2062.992,2032.06,2048.372,7446355400,102976445000.0
2025-04-28,2044.631,2051.128,2020.202,2022.384,7477940500,106250990000.0
2025-04-29,2012.53,2048.956,2004.66,2041.141,7950281000,106984740000.0
2025-04-30,2045.16,2084.338,2045.16,2075.538,9069419200,134776070000.0
2025-05-06,2096.747,2147.71,2096.747,2147.71,10612063100,156755370000.0
2025-05-07,2172.115,2176.949,2135.59,2157.169,11240072900,164410460000.0
2025-05-08,2150.322,2189.504,2149.703,2186.582,10459185900,150307760000.0
2025-05-09,2184.248,2184.248,2143.431,2155.016,9484678900,138862170000.0
2025-05-12,2174.223,2198.135,2174.223,2198.135,10025782800,149207720000.0
2025-05-13,2222.631,2223.913,2185.024,2188.019,9882084400,148501280000.0
2025-05-14,2184.205,2199.487,2170.473,2187.103,9056276300,132355527000.0
2025-05-15,2183.907,2183.907,2149.419,2150.747,8172307200,115195745000.0
2025-05-16,2143.771,2179.322,2143.771,2166.6,8120099800,116396479000.0
2025-05-19,2169.755,2178.983,2140.669,2178.47,7715224800,104999924000.0
2025-05-20,2180.109,2194.79,2164.258,2193.046,7869753700,107537837000.0
2025-05-21,2189.957,2189.957,2162.657,2173.478,7261242300,102118359000.0
2025-05-22,2166.493,2186.305,2146.573,2147.759,7062483500,96679255000.0
2025-05-23,2144.164,2168.845,2119.102,2119.102,7835067700,108150894000.0
2025-05-26,2118.948,2149.68,2118.948,2149.68,7230582400,94239329000.0
2025-05-27,2147.959,2148.005,2127.815,2141.419,6966165300,92342981000.0
2025-05-28,2144.069,2156.238,2134.967,2141.02,7171018700,97513517000.0
2025-05-29,2139.583,2191.888,2139.583,2191.888,9160699600,124261013000.0
2025-05-30,2185.288,2185.288,2147.458,2151.537,8471164500,112372972000.0
2025-06-03,2140.557,2165.639,2140.557,2155.494,7425461000,104468720000.0
2025-06-04,2157.242,2171.311,2157.242,2170.871,7186411300,97657409000.0
2025-06-05,2175.21,2204.595,2166.175,2200.654,9105599700,134691170000.0
2025-06-06,2199.85,2208.526,2192.038,2201.829,7980410400,114339221000.0
2025-06-09,2205.113,2222.248,2204.045,2221.597,8181199000,117837422000.0
2025-06-10,2223.112,2223.284,2166.446,2195.048,9079112900,126370202000.0
2025-06-11,2195.258,2212.866,2192.302,2205.373,7596528300,115414507000.0
2025-06-12,2200.219,2215.456,2191.962,2208.72,7761173700,117015793000.0
2025-06-13,2200.248,2202.332,2163.957,2165.23,8649351500,126353385000.0
2025-06-16,2157.504,2189.516,2157.504,2189.354,7174082600,105054907000.0
2025-06-17,2191.931,2195.789,2175.892,2185.741,7290583200,106063672000.0
2025-06-18,2181.017,2189.112,2168.13,2188.888,7576195500,110127411000.0
